"Story","Title","Result","Date","Stability","Duration (s)"
"Booking CRUD test","This will create new booking","SUCCESS","2022-01-11T20:25:10.087Z[Europe/London]","0.0","3.48"
"Booking CRUD test","Verify if the Booking was done correctly","SUCCESS","2022-01-11T20:25:13.584Z[Europe/London]","0.0","0.91"
"Booking CRUD test","Update the Booking and verify the updated information","SUCCESS","2022-01-11T20:25:14.498Z[Europe/London]","0.0","1.03"
"Booking CRUD test","Delete the Booking and verify if the Booking is deleted!","SUCCESS","2022-01-11T20:25:15.523Z[Europe/London]","0.0","0.95"
